	AC010789.1	MIS18A-AS1	LINC00659	LINC02575	LINC00486	MIR205HG	LINC01436	MIR4280HG	LINC01115	LINC02428	AC226118.1	PURPL	MIR3142HG	LINC01300	PKIA-AS1	LINC02688	AC016705.1	AL035425.3	NFE2L1-DT	LINC02675	LINC00668	FENDRR	AC132192.2	AC010359.2	AC099343.2	AL353708.3	AP001412.1	AL355512.1	PICSAR	AC092117.1	AL139123.1	AC087239.1	AC207130.1	AL358777.3	AC211476.6	AC133530.1	AL513128.3	AC053545.1	state
tm15	1	2	82	5	1	399	20	9	3	2	10	0	5	72	1	17	1	7	22	2	5	19	26	8	10	10	8	2	165	10	6	13	0	15	4	3	2	10	1
tm16	0	1	65	6	0	5	227	9	7	0	8	3	43	2	0	41	1	0	15	0	1	191	15	1	10	6	2	2	1	32	0	5	1	0	0	33	8	1	1
tm17	1	7	3	2	2	6	55	15	0	0	7	1	30	7	9	77	1	6	17	0	64	194	20	9	13	3	1	4	122	66	1	4	0	5	0	2	7	3	1
tm18	0	4	57	7	2	0	51	15	1	0	56	1	31	30	7	32	0	42	34	1	0	83	45	16	17	10	4	1	1	132	8	5	1	17	6	4	14	0	1
tm19	0	5	4	1	0	371	26	9	0	2	1	3	37	11	4	54	2	34	28	0	75	285	42	25	26	21	2	23	121	122	9	7	0	10	0	17	18	4	1
tm20	1	3	49	1	0	0	34	5	0	1	6	12	9	0	2	44	0	3	23	2	4	72	14	7	21	48	4	4	1	50	7	15	0	5	6	2	3	8	1
tm21	27	2	12	1	0	389	246	8	13	1	16	33	54	3	2	22	1	0	7	9	21	72	13	11	11	2	0	6	7	20	4	7	0	4	2	64	3	9	1
tm22	2	3	10	2	5	60	50	7	2	0	1	31	72	2	3	181	3	2	68	0	6	39	125	27	46	19	12	4	3	51	11	35	2	20	10	1	10	4	1
tm23	0	7	4	8	2	4	5	25	0	0	9	2	218	0	1	52	2	10	19	0	0	165	22	7	23	10	5	1	2	32	3	10	0	25	5	135	11	2	1
tm24	0	0	0	4	0	556	96	15	0	0	39	0	2	0	4	40	1	0	10	23	0	108	18	6	7	8	0	6	5	18	1	7	0	1	1	6	2	19	1
tm25	0	6	17	1	0	395	25	19	0	2	2	1	13	8	3	10	0	0	21	0	2	294	15	9	4	5	2	0	57	24	5	19	0	11	0	5	3	4	1
tm26	7	3	15	13	1	2	22	3	8	10	4	0	8	2	4	55	0	8	10	2	48	42	7	7	3	4	1	0	12	18	4	10	0	6	2	7	2	3	1
tm27	0	9	1	3	3	41	15	14	2	1	21	1	57	6	1	98	0	3	10	2	48	39	20	7	6	4	1	3	9	71	12	4	1	9	5	16	12	18	1
tm28	1	14	21	3	37	1	5	47	0	3	8	3	24	3	2	799	2	4	43	2	0	71	54	18	13	14	7	0	0	25	11	22	0	33	3	1	2	24	1
tm29	1	1	102	1	5	0	1	2	3	0	3	36	13	1	0	129	2	732	27	0	233	48	51	0	7	39	4	4	0	21	32	29	3	19	6	1	0	1	1
tm30	0	10	6	5	1	27	2	16	0	0	16	0	38	0	0	55	0	0	19	35	6	297	25	6	5	3	4	0	10	49	3	9	3	12	3	3	7	0	1
tm31	1	9	4	9	0	9	31	16	11	6	5	4	47	2	6	68	1	6	30	1	0	326	34	15	27	12	2	1	2	18	17	6	0	17	7	8	8	27	1
tm32	1	17	10	4	1	28	18	21	3	1	77	10	207	16	3	43	3	14	13	2	1	92	18	26	6	27	0	5	1	123	1	6	2	22	0	6	21	5	1
tm33	0	3	11	20	1	1	12	12	1	1	36	2	102	5	5	50	0	3	13	2	52	85	17	12	13	7	1	2	20	63	9	10	1	11	1	0	10	1	1
tm34	0	15	4	1	0	113	10	68	1	0	0	1	20	25	1	14	0	3	51	0	1	64	32	23	10	30	4	9	64	67	8	22	1	23	4	1	6	1	1
tm35	0	7	12	18	1	1	11	11	0	0	7	4	27	34	1	141	4	4	37	2	2	26	38	17	22	27	3	0	0	55	9	10	0	9	10	1	16	5	1
tm36	8	4	15	4	1	2	5	0	6	2	9	0	27	12	10	40	0	3	28	0	0	368	16	8	6	8	1	21	40	16	1	8	0	7	0	1	8	1	1
tm37	0	11	21	3	0	8	33	14	9	57	2	0	23	10	1	94	0	0	20	12	2	91	43	14	13	26	1	3	2	90	18	16	2	27	3	4	8	4	1
tm38	51	2	41	101	0	1	133	17	4	16	4	1	55	9	1	6	2	0	19	4	570	63	13	6	21	21	3	1	18	58	15	5	0	18	2	1	4	1	1
tm39	1	1	29	1	1	54	40	11	0	3	13	0	36	65	6	224	0	1	16	0	0	91	31	14	11	5	4	1	5	13	7	7	0	9	4	253	15	2	1
tm40	0	5	4	2	0	11	3	33	2	0	2	3	115	6	4	5230	2	8	14	0	23	222	19	19	14	9	2	3	0	154	10	11	0	5	2	4	2	0	1
tm41	8	3	22	8	3	2	217	8	0	0	16	3	181	2	8	33	4	11	11	1	1	260	10	12	7	5	1	5	3	76	2	2	2	23	0	5	11	2	1
tm42	0	12	16	2	2	7	37	7	21	0	10	4	126	0	2	222	1	37	17	12	16	107	29	11	15	16	8	5	3	85	17	4	3	15	2	7	5	7	1
